device_type,failed_login_attempts,open_ports,total_vulnerabilities,critical_vulnerabilities,patch_age_days,network_anomaly_score,malware_alerts,privilege_escalation_attempts,previous_security_incidents,risk_level
Server,1,10,1,1,76,32.2,0,0,1,LOW
Server,5,3,6,2,84,64.0,1,0,1,HIGH
Workstation,5,5,2,1,61,47.9,0,0,0,LOW
Laptop,4,6,6,0,43,29.5,0,0,1,LOW
Desktop,5,4,6,1,97,62.5,2,0,1,HIGH
Laptop,3,7,3,1,86,23.7,1,0,1,LOW
Desktop,12,4,2,2,6,31.0,0,2,1,MEDIUM
Laptop,4,5,1,0,75,49.6,1,0,1,LOW
Laptop,9,6,2,0,108,43.0,0,0,1,LOW
Laptop,6,3,5,0,67,23.2,0,0,3,LOW
Laptop,4,3,5,2,112,4.2,0,1,1,LOW
Desktop,6,4,4,2,47,37.6,0,2,1,MEDIUM
Desktop,3,8,3,1,29,22.0,1,0,0,LOW
Server,4,8,6,1,60,38.7,1,0,0,MEDIUM
Laptop,4,6,4,0,12,28.7,1,0,0,LOW
Laptop,0,6,3,0,7,22.2,1,0,2,LOW
Laptop,2,4,5,0,69,32.1,0,1,1,LOW
Desktop,7,2,5,1,3,36.4,0,4,2,MEDIUM
Laptop,4,5,7,2,7,53.3,0,2,3,HIGH
Laptop,5,4,7,1,55,47.3,0,2,3,HIGH
Laptop,6,3,0,0,27,84.1,1,0,0,LOW
Desktop,2,3,3,0,21,41.1,1,0,0,LOW
Laptop,3,5,3,0,61,23.2,0,0,2,LOW
Desktop,3,5,6,0,39,34.3,1,1,0,LOW
Desktop,9,8,6,1,74,50.5,3,1,2,HIGH
Server,9,4,5,0,51,60.1,2,2,0,HIGH
Server,3,4,6,0,23,67.5,0,0,4,MEDIUM
Server,2,4,5,1,85,15.6,1,1,3,MEDIUM
Laptop,6,8,3,0,112,66.2,0,0,0,MEDIUM
Server,5,4,1,0,87,37.0,2,2,1,MEDIUM
Desktop,3,7,3,2,21,17.6,0,0,2,LOW
Desktop,6,9,7,1,67,33.5,0,2,1,HIGH
Server,4,4,4,2,18,64.6,0,2,0,MEDIUM
Laptop,3,8,3,1,3,48.1,0,0,2,LOW
Desktop,3,7,3,2,19,11.3,2,2,2,MEDIUM
Server,4,3,5,1,97,11.5,2,0,0,MEDIUM
Workstation,7,4,9,0,112,10.9,0,1,0,MEDIUM
Workstation,8,4,4,0,72,21.9,0,0,0,LOW
Desktop,4,3,3,1,106,39.7,2,2,1,HIGH
Desktop,1,3,6,2,49,13.2,0,0,2,LOW
Server,2,3,2,1,3,28.6,0,0,1,LOW
Laptop,9,4,6,0,109,68.8,0,0,0,HIGH
Workstation,3,4,2,0,87,73.6,1,2,0,HIGH
Desktop,4,5,2,1,79,72.1,0,2,2,HIGH
Laptop,5,4,4,0,8,0.0,1,0,1,LOW
Laptop,8,7,6,0,116,74.8,0,0,1,HIGH
Workstation,3,7,3,3,9,40.0,1,0,0,MEDIUM
Laptop,6,2,3,1,1,39.7,0,0,2,LOW
Laptop,6,5,7,1,9,60.6,0,1,1,MEDIUM
Laptop,6,4,4,0,113,53.5,0,0,1,MEDIUM
Laptop,1,9,6,1,100,0.0,0,0,1,LOW
Laptop,5,6,3,1,13,24.5,1,1,1,LOW
Server,3,5,9,1,51,29.9,1,1,1,MEDIUM
Laptop,5,4,7,0,63,8.7,2,0,0,LOW
Workstation,3,5,2,2,67,59.9,1,0,1,MEDIUM
Workstation,6,3,3,1,24,69.7,1,0,0,MEDIUM
Laptop,5,5,4,3,3,37.8,0,0,1,LOW
Laptop,7,6,4,0,3,44.6,1,0,1,LOW
Desktop,6,3,7,3,109,37.8,0,1,0,HIGH
Laptop,6,6,3,2,75,40.2,0,0,2,MEDIUM
Laptop,7,4,0,0,118,62.6,0,0,1,LOW
Workstation,6,9,3,2,104,0.0,0,1,5,HIGH
Workstation,3,6,2,1,28,48.7,0,1,2,LOW
Server,8,5,5,0,10,38.3,1,0,3,MEDIUM
Laptop,5,5,4,0,79,22.3,0,0,0,LOW
Server,7,6,5,4,27,26.9,3,1,0,HIGH
Server,5,6,6,2,82,78.3,1,1,0,HIGH
Laptop,10,1,1,1,117,8.8,0,0,1,LOW
Server,5,4,5,0,116,34.3,1,0,0,MEDIUM
Laptop,4,4,3,1,30,73.8,0,0,0,LOW
Laptop,1,3,6,1,58,10.1,0,1,0,LOW
Desktop,2,4,4,1,85,28.0,0,0,1,LOW
Laptop,5,8,2,2,28,38.9,0,0,0,LOW
Laptop,6,3,5,0,68,47.1,3,1,1,HIGH
Workstation,3,8,3,1,43,36.2,1,0,2,MEDIUM
Workstation,4,3,7,1,69,18.3,0,0,2,LOW
Desktop,5,5,1,1,77,47.8,0,0,0,LOW
Workstation,6,3,5,1,106,35.8,0,0,0,LOW
Workstation,5,7,3,3,57,51.8,0,2,0,HIGH
Laptop,4,4,5,3,34,58.3,0,0,1,MEDIUM
Desktop,9,8,6,1,9,5.3,1,0,0,LOW
Laptop,4,6,4,1,84,60.7,0,1,2,HIGH
Laptop,1,6,6,3,97,32.4,0,1,3,HIGH
Server,3,7,4,0,49,56.2,0,0,1,LOW
Desktop,5,4,0,0,104,48.9,0,0,0,LOW
Desktop,5,9,2,1,57,78.8,1,2,0,HIGH
Laptop,5,6,2,0,57,38.1,1,0,1,LOW
Laptop,5,5,4,2,5,29.1,0,1,2,LOW
Workstation,3,4,5,0,63,26.7,1,0,1,LOW
Laptop,6,6,3,1,71,15.2,0,2,0,LOW
Laptop,6,6,12,2,59,55.8,1,0,1,HIGH
Laptop,5,4,5,1,65,13.8,2,0,0,MEDIUM
Desktop,8,2,3,1,64,55.6,0,1,1,MEDIUM
Desktop,9,7,4,2,84,33.1,1,2,1,HIGH
Desktop,5,3,6,1,12,0.0,0,0,1,LOW
Laptop,6,2,5,0,64,70.7,0,0,0,LOW
Laptop,5,6,6,1,52,0.0,2,1,0,MEDIUM
Workstation,3,3,4,1,41,36.2,0,1,1,LOW
Server,5,4,5,2,54,43.1,1,1,1,HIGH
Server,4,6,3,2,82,0.0,0,0,1,LOW
Server,3,7,2,2,120,47.7,0,0,1,MEDIUM
Server,8,3,2,0,26,23.3,0,1,2,LOW
Laptop,3,7,4,1,5,32.5,0,0,2,LOW
Laptop,1,3,7,0,42,67.5,0,1,0,LOW
Desktop,6,2,3,0,37,41.1,0,1,2,LOW
Laptop,5,4,2,1,8,30.3,1,0,0,LOW
Workstation,4,6,4,1,60,34.2,1,0,3,MEDIUM
Desktop,2,5,0,0,62,77.1,0,3,0,MEDIUM
Server,0,6,6,0,102,46.9,1,1,2,HIGH
Workstation,4,5,6,1,84,18.6,0,0,0,LOW
Desktop,3,15,7,2,55,27.3,0,0,2,HIGH
Workstation,9,4,3,2,79,11.8,0,1,1,LOW
Desktop,4,4,1,1,35,28.1,0,0,0,LOW
Workstation,3,8,4,2,18,73.4,2,1,0,HIGH
Laptop,2,9,2,2,64,34.3,0,0,3,MEDIUM
Desktop,5,6,5,1,60,8.6,0,0,0,LOW
Desktop,2,1,2,0,35,47.5,0,1,1,LOW
Laptop,2,5,5,3,108,29.4,0,0,1,MEDIUM
Laptop,2,2,3,2,66,50.4,0,2,1,MEDIUM
Workstation,3,7,0,0,68,32.7,0,1,4,LOW
Server,5,5,4,1,83,69.8,0,0,1,MEDIUM
Laptop,4,4,4,1,35,18.0,1,1,1,LOW
Laptop,4,6,3,3,64,12.4,0,0,3,MEDIUM
Laptop,4,8,9,2,108,58.6,2,0,0,HIGH
Laptop,3,7,8,1,73,0.0,0,0,1,LOW
Workstation,8,6,2,0,103,34.2,1,2,2,HIGH
Desktop,3,3,2,1,4,55.6,0,0,0,LOW
Laptop,12,6,6,1,87,0.0,1,1,3,HIGH
Desktop,6,5,4,0,79,39.4,0,0,1,LOW
Laptop,8,2,3,3,108,5.1,1,1,2,HIGH
Laptop,4,3,2,1,117,0.0,0,0,1,LOW
Server,4,7,8,1,16,14.5,1,2,1,MEDIUM
Server,5,3,7,1,59,34.0,3,0,1,HIGH
Workstation,5,6,13,1,112,22.5,1,1,0,HIGH
Server,4,5,7,2,97,62.4,1,1,2,HIGH
Desktop,2,5,6,1,12,39.8,1,0,1,LOW
Server,7,5,2,1,66,27.2,1,1,4,HIGH
Workstation,6,5,6,1,42,9.2,0,1,0,LOW
Server,4,3,7,2,85,42.9,1,0,0,HIGH
Workstation,4,8,1,0,62,83.3,0,0,0,LOW
Server,11,3,2,0,37,22.5,1,0,2,LOW
Workstation,8,7,3,0,50,25.1,0,1,1,LOW
Laptop,5,8,7,2,116,14.7,0,0,1,MEDIUM
Server,6,4,1,1,44,64.1,1,1,0,MEDIUM
Desktop,3,7,5,2,26,58.4,0,0,1,MEDIUM
Desktop,8,3,7,0,13,28.2,2,0,1,MEDIUM
Server,3,5,3,3,19,24.8,0,1,2,LOW
Workstation,3,3,7,1,6,17.2,3,0,0,MEDIUM
Workstation,5,5,4,1,5,31.6,1,1,2,MEDIUM
Laptop,5,8,3,1,64,60.4,1,1,1,HIGH
Server,6,3,2,2,65,38.9,0,0,2,LOW
Server,11,6,10,1,96,66.3,1,1,1,HIGH
Laptop,4,4,8,0,74,22.2,0,0,1,LOW
Laptop,9,5,4,3,23,0.0,0,0,3,LOW
Laptop,5,4,6,1,78,95.3,0,0,1,HIGH
Server,3,7,4,0,53,42.7,0,2,0,LOW
Desktop,3,10,5,3,20,55.1,0,0,3,HIGH
Workstation,4,5,7,1,78,20.7,2,1,1,HIGH
Desktop,4,4,4,1,78,8.0,0,1,1,LOW
Workstation,5,6,5,1,51,41.4,0,0,4,MEDIUM
Laptop,0,5,7,0,19,0.0,1,0,0,LOW
Server,6,1,3,1,3,32.1,0,1,2,LOW
Laptop,6,4,4,0,91,60.5,0,2,0,MEDIUM
Desktop,3,2,1,1,18,47.9,0,1,2,LOW
Workstation,3,7,8,0,33,43.6,1,1,1,MEDIUM
Workstation,6,4,1,1,81,76.4,0,0,0,MEDIUM
Workstation,5,5,3,2,51,46.3,0,2,0,MEDIUM
Laptop,4,6,6,1,99,0.0,2,2,2,HIGH
Laptop,5,5,7,0,44,34.7,2,1,2,HIGH
Laptop,9,6,1,0,107,80.4,0,0,2,HIGH
Laptop,1,4,4,0,44,31.2,1,0,1,LOW
Server,9,8,3,1,9,79.0,0,1,1,HIGH
Server,2,4,5,0,87,60.5,1,0,0,MEDIUM
Server,6,8,5,0,79,29.0,0,0,4,MEDIUM
Workstation,3,6,3,2,120,14.2,0,0,1,LOW
Server,4,2,4,3,12,45.5,0,1,1,MEDIUM
Workstation,2,7,6,2,63,66.0,0,2,0,HIGH
Laptop,8,6,6,3,85,3.3,0,0,0,MEDIUM
Laptop,7,3,4,1,48,40.6,0,1,0,LOW
Server,4,5,7,2,31,0.0,1,0,2,LOW
Workstation,7,7,3,1,35,30.5,2,0,0,MEDIUM
Laptop,6,5,3,0,1,1.6,0,0,0,LOW
Desktop,4,6,5,0,75,50.4,1,1,1,MEDIUM
Server,5,10,6,0,94,22.8,0,1,1,MEDIUM
Laptop,4,4,5,1,54,63.5,0,0,2,MEDIUM
Laptop,4,5,6,0,4,26.1,2,0,2,LOW
Workstation,3,4,3,0,93,24.1,0,1,1,LOW
Server,4,6,5,0,109,2.5,0,0,1,LOW
Laptop,7,4,7,2,73,46.6,0,1,3,HIGH
Workstation,2,8,2,2,10,48.8,1,0,0,LOW
Laptop,5,3,4,1,49,58.7,0,0,3,MEDIUM
Workstation,5,1,3,0,68,52.4,0,1,3,MEDIUM
Laptop,4,5,5,0,115,46.8,0,1,1,MEDIUM
Desktop,9,6,6,2,60,51.1,2,0,1,HIGH
Laptop,6,6,2,0,1,53.3,0,1,3,LOW
Laptop,1,6,5,1,85,58.0,1,1,1,HIGH
Workstation,4,2,5,1,83,4.4,3,0,1,MEDIUM
Laptop,5,5,4,0,28,27.8,1,2,0,LOW
Laptop,4,3,7,1,49,2.3,0,1,0,LOW
Laptop,6,6,4,1,5,45.3,0,0,2,LOW
Server,6,2,3,2,14,73.9,0,1,2,MEDIUM
Workstation,4,5,2,0,37,57.7,2,0,2,MEDIUM
Workstation,1,8,5,2,11,24.6,0,0,0,LOW
Laptop,9,5,1,0,33,49.1,1,0,1,LOW
Laptop,10,2,4,1,78,45.7,0,0,1,MEDIUM
Laptop,6,4,4,0,46,43.1,0,0,0,LOW
Desktop,5,5,4,1,17,9.3,1,0,2,LOW
Workstation,2,9,2,1,75,66.9,1,1,1,HIGH
Server,6,4,6,0,103,12.1,0,0,1,LOW
Desktop,7,1,2,1,71,29.9,0,1,0,LOW
Laptop,4,1,2,2,37,59.1,0,0,1,LOW
Workstation,12,6,5,3,97,29.8,0,2,1,HIGH
Desktop,7,6,4,1,41,39.7,0,1,2,MEDIUM
Laptop,7,6,2,0,1,40.6,1,0,1,LOW
Laptop,6,5,1,0,79,39.5,0,0,0,LOW
Laptop,4,6,3,3,86,40.5,0,0,4,HIGH
Laptop,4,6,5,1,26,42.7,0,2,4,HIGH
Laptop,6,7,4,1,45,39.6,1,1,0,MEDIUM
Desktop,6,7,2,0,0,18.3,0,0,2,LOW
Server,7,5,2,1,56,3.9,1,1,1,LOW
Laptop,4,4,6,0,53,60.0,0,1,0,LOW
Desktop,3,4,7,2,31,61.0,1,0,1,HIGH
Workstation,4,5,6,1,63,45.4,1,0,2,HIGH
Server,7,3,1,0,82,45.2,0,0,0,LOW
Desktop,3,5,3,1,53,17.9,0,2,0,LOW
Laptop,4,7,6,2,96,0.0,0,0,2,LOW
Workstation,6,13,1,1,55,32.5,1,0,0,LOW
Laptop,3,5,4,1,49,0.0,0,0,3,LOW
Laptop,5,6,4,2,80,42.1,0,0,0,MEDIUM
Workstation,3,5,1,1,20,66.7,0,0,0,LOW
Desktop,2,5,8,1,102,24.4,0,0,1,MEDIUM
Server,6,9,3,1,73,25.7,0,0,1,LOW
Desktop,4,2,6,2,44,15.9,1,0,4,MEDIUM
Server,6,4,2,0,28,39.0,0,0,2,LOW
Laptop,7,7,6,1,95,37.3,1,3,0,HIGH
Laptop,4,6,5,2,1,15.6,0,0,0,LOW
Laptop,7,4,3,1,7,58.1,0,1,1,LOW
Laptop,3,11,6,1,73,97.5,1,1,0,HIGH
Workstation,6,4,2,2,58,64.2,0,0,1,MEDIUM
Laptop,5,2,7,0,20,35.6,0,2,1,LOW
Desktop,1,7,4,0,45,35.3,0,0,2,LOW
Server,5,6,0,0,94,26.7,1,1,1,LOW
Server,4,4,8,3,56,26.2,0,0,2,MEDIUM
Desktop,6,4,2,1,63,59.1,1,1,1,MEDIUM
Desktop,6,5,2,2,11,60.0,0,1,2,MEDIUM
Workstation,7,4,2,0,87,12.3,1,1,2,LOW
Server,7,4,7,0,16,46.1,0,1,1,LOW
Workstation,2,7,6,1,28,62.4,0,0,1,MEDIUM
Workstation,6,3,3,2,35,30.3,0,1,1,LOW
Server,2,3,5,0,52,33.3,0,1,1,LOW
Laptop,10,5,8,2,33,53.3,1,0,1,HIGH
Desktop,4,3,10,1,98,53.9,1,1,0,HIGH
Laptop,1,6,5,4,46,47.4,0,1,1,HIGH
Server,7,6,4,2,4,43.6,1,1,3,HIGH
Workstation,5,7,6,1,55,46.5,0,0,3,MEDIUM
Desktop,5,1,5,2,14,31.9,0,0,3,LOW
Desktop,1,5,1,1,26,13.4,0,1,0,LOW
Laptop,6,4,10,0,71,3.8,0,2,1,MEDIUM
Workstation,5,5,6,1,74,51.1,0,0,1,MEDIUM
Laptop,2,6,5,1,80,40.4,0,2,2,MEDIUM
Laptop,1,11,2,1,45,48.0,0,1,1,LOW
Laptop,4,4,3,0,101,19.8,0,1,0,LOW
Laptop,2,8,7,3,7,40.3,0,0,1,MEDIUM
Desktop,2,6,4,2,45,39.7,2,0,0,MEDIUM
Desktop,5,5,5,1,29,66.1,0,0,1,MEDIUM
Laptop,5,2,7,1,5,56.7,0,0,5,MEDIUM
Laptop,4,5,6,0,67,21.7,0,0,5,MEDIUM
Laptop,8,4,4,0,6,49.1,1,1,1,MEDIUM
Laptop,6,5,5,1,73,21.6,2,1,3,HIGH
Laptop,1,5,3,1,103,0.0,0,1,1,LOW
Server,3,3,3,0,96,76.0,0,0,2,MEDIUM
Laptop,2,5,8,0,82,29.8,2,1,3,HIGH
Laptop,0,3,6,0,29,60.9,0,0,0,LOW
Laptop,5,2,3,1,79,23.5,0,0,0,LOW
Laptop,4,2,2,1,68,20.2,0,0,0,LOW
Laptop,3,5,4,0,59,26.0,0,0,0,LOW
Laptop,10,4,3,3,57,43.6,0,1,2,HIGH
Workstation,3,4,1,0,17,41.9,1,0,2,LOW
Laptop,0,5,1,0,102,48.9,0,0,0,LOW
Desktop,9,5,2,2,101,27.1,1,0,0,MEDIUM
Desktop,8,9,7,0,88,38.9,0,0,1,MEDIUM
Laptop,2,2,4,0,66,19.5,1,0,0,LOW
Desktop,7,3,5,1,15,70.3,1,0,0,MEDIUM
Server,4,3,5,2,76,9.1,1,1,0,LOW
Workstation,3,8,4,0,116,19.9,0,0,0,LOW
Laptop,6,4,7,0,16,28.7,0,1,3,LOW
Laptop,3,7,1,1,42,90.6,0,0,0,MEDIUM
Laptop,4,6,4,2,109,54.9,1,2,0,HIGH
Desktop,4,1,2,1,115,19.2,0,0,3,LOW
Server,4,4,1,0,53,56.1,1,1,4,MEDIUM
Laptop,4,4,5,1,34,49.3,1,1,0,MEDIUM
Laptop,6,8,1,0,34,44.0,0,0,1,LOW
Workstation,6,4,3,2,56,53.3,0,0,1,MEDIUM
Laptop,5,5,3,1,38,39.3,2,2,1,HIGH
Desktop,7,3,3,1,66,41.8,0,0,0,LOW
Server,4,6,6,2,9,3.8,0,2,1,LOW
Laptop,4,3,6,1,7,69.7,0,0,0,LOW
Laptop,2,10,2,1,0,28.2,0,0,0,LOW
Laptop,3,5,3,0,86,10.8,0,1,2,LOW
Workstation,2,5,3,0,111,26.9,1,0,0,LOW
Laptop,4,5,2,1,12,27.8,0,1,0,LOW
Laptop,6,4,4,2,110,20.4,1,0,0,MEDIUM
Laptop,11,4,5,1,19,55.1,0,1,1,MEDIUM
Laptop,4,4,3,2,5,59.4,0,0,2,LOW
Server,7,4,3,1,35,0.0,0,0,2,LOW
Laptop,7,5,6,0,35,26.7,1,0,0,LOW
Desktop,5,8,2,1,116,28.3,0,1,0,LOW
Desktop,7,5,1,1,13,34.2,0,1,2,LOW
Workstation,7,7,1,0,117,75.5,1,0,1,HIGH
Laptop,10,7,7,0,104,20.1,1,0,0,MEDIUM
Workstation,7,1,7,1,59,72.4,1,0,2,HIGH
Desktop,4,5,7,2,81,34.8,0,2,3,HIGH
Laptop,6,6,3,3,64,72.6,0,1,4,HIGH
Server,5,7,11,1,110,31.2,3,1,1,HIGH
Workstation,6,4,5,0,25,28.6,1,3,3,HIGH
Laptop,4,3,3,1,115,37.5,0,2,2,MEDIUM
Workstation,5,6,9,0,50,66.4,0,0,1,MEDIUM
Desktop,3,2,5,0,112,41.5,2,2,0,HIGH
Desktop,6,2,7,0,119,42.6,0,0,0,MEDIUM
Workstation,2,7,6,1,102,52.0,0,0,1,MEDIUM
Laptop,5,2,4,2,95,18.6,0,0,0,LOW
Workstation,5,4,3,0,52,45.4,0,1,0,LOW
Laptop,1,6,5,1,84,24.2,0,1,1,LOW
Server,4,9,4,0,29,70.4,0,1,1,MEDIUM
Desktop,5,3,5,1,33,47.2,1,1,1,MEDIUM
Laptop,7,6,3,2,89,53.2,1,0,3,HIGH
Laptop,7,2,3,0,92,0.0,0,0,1,LOW
Laptop,9,3,5,0,31,53.5,0,2,1,MEDIUM
Laptop,10,7,5,0,116,34.1,1,0,2,HIGH
Laptop,3,1,3,1,82,6.4,0,1,0,LOW
Laptop,9,4,4,0,119,40.1,0,1,0,MEDIUM
Laptop,6,4,4,0,57,4.6,1,1,1,LOW
Laptop,8,6,6,0,72,51.4,0,1,2,HIGH
Server,2,3,2,1,78,69.5,1,0,1,MEDIUM
Server,5,3,4,2,19,0.0,1,0,2,LOW
Server,5,9,3,1,33,37.3,1,0,1,LOW
Laptop,3,5,4,1,116,34.4,0,3,0,MEDIUM
Workstation,3,7,2,1,81,0.0,0,0,0,LOW
Desktop,5,2,2,2,65,58.2,0,1,1,MEDIUM
Laptop,3,6,4,1,0,51.8,0,1,1,LOW
Laptop,8,8,4,0,4,82.6,0,0,1,MEDIUM
Server,6,4,4,0,67,48.9,0,2,2,MEDIUM
Laptop,4,4,3,2,9,18.7,0,0,2,LOW
Desktop,3,4,7,3,17,49.3,0,0,1,MEDIUM
Workstation,10,3,6,1,69,66.3,0,1,3,HIGH
Laptop,9,5,5,0,116,27.8,1,1,2,HIGH
Laptop,2,3,5,1,101,56.8,1,0,2,HIGH
Workstation,9,7,2,2,56,0.0,0,0,0,LOW
Desktop,3,1,3,1,113,70.5,0,0,0,MEDIUM
Laptop,2,5,3,1,73,55.6,0,0,1,LOW
Workstation,4,5,4,2,114,0.0,1,1,1,MEDIUM
Workstation,2,5,5,1,28,46.4,2,0,3,HIGH
Desktop,4,9,4,0,70,0.0,1,1,1,LOW
Server,5,2,3,1,111,24.6,1,0,0,LOW
Laptop,1,4,4,1,118,52.9,0,1,1,MEDIUM
Laptop,6,6,2,0,104,35.0,0,0,2,LOW
Desktop,7,4,4,2,18,65.6,1,0,0,MEDIUM
Laptop,2,5,5,0,74,39.4,0,0,1,LOW
Server,3,5,7,3,11,37.2,1,0,0,MEDIUM
Workstation,3,5,5,3,46,62.2,1,1,1,HIGH
Laptop,9,8,7,1,3,30.6,1,1,1,MEDIUM
Desktop,7,6,4,2,91,37.4,2,0,1,HIGH
Laptop,6,5,2,2,93,40.3,2,0,1,HIGH
Workstation,3,5,1,0,11,36.5,2,0,0,LOW
Laptop,9,4,2,1,110,63.5,1,0,0,HIGH
Desktop,5,3,3,0,101,23.3,0,1,0,LOW
Desktop,4,3,1,1,101,19.7,0,0,0,LOW
Laptop,5,6,4,0,54,14.6,0,0,2,LOW
Server,4,4,5,1,113,0.0,1,1,1,MEDIUM
Server,9,6,5,1,118,70.6,1,0,0,HIGH
Desktop,4,5,5,1,66,18.2,0,0,2,LOW
Server,7,4,9,1,45,32.8,0,1,0,MEDIUM
Workstation,4,3,4,1,92,72.3,1,0,0,HIGH
Laptop,3,5,7,0,5,34.9,1,2,2,MEDIUM
Desktop,2,4,6,1,40,49.3,1,1,1,MEDIUM
Laptop,3,3,5,1,0,6.7,2,2,2,MEDIUM
Server,5,3,1,1,92,68.8,1,0,0,MEDIUM
Desktop,3,7,3,1,5,35.3,2,0,0,LOW
Laptop,9,5,7,2,91,15.6,0,0,2,MEDIUM
Laptop,7,10,8,0,68,15.6,1,0,2,MEDIUM
Workstation,4,7,5,1,52,75.2,2,1,0,HIGH
Laptop,8,5,6,1,76,25.1,1,0,1,MEDIUM
Server,6,5,3,2,5,16.1,1,0,0,LOW
Laptop,9,2,3,2,98,28.5,3,0,1,HIGH
Workstation,3,4,5,0,32,39.0,1,0,1,LOW
Laptop,4,6,3,1,101,41.3,1,1,2,HIGH
Laptop,5,7,7,0,107,47.8,0,0,0,MEDIUM
Workstation,3,7,4,1,66,43.2,0,0,1,LOW
Workstation,6,2,2,2,71,52.2,1,0,1,MEDIUM
Laptop,7,3,4,2,111,32.0,1,0,1,HIGH
Desktop,3,8,6,0,49,83.6,0,0,1,MEDIUM
Server,6,9,6,1,48,27.3,0,0,0,LOW
Workstation,3,6,1,0,114,67.8,0,0,2,MEDIUM
Laptop,3,3,1,1,48,24.8,0,0,1,LOW
Desktop,4,6,2,0,44,6.6,1,2,1,LOW
Server,6,6,5,0,0,1.3,1,1,2,LOW
Server,2,5,3,0,39,44.7,0,0,2,LOW
Server,2,8,4,1,30,63.6,0,1,1,MEDIUM
Desktop,9,5,4,0,93,12.7,0,0,1,LOW
Laptop,2,5,5,4,60,18.7,0,0,0,LOW
Workstation,3,7,6,1,42,46.5,1,0,0,MEDIUM
Workstation,9,4,5,2,112,37.9,0,0,1,HIGH
Server,10,6,2,0,53,25.1,1,0,1,LOW
Laptop,6,4,0,0,50,9.9,1,1,0,LOW
Laptop,7,2,7,2,87,44.8,0,2,2,HIGH
Server,5,4,2,1,31,52.4,1,0,2,MEDIUM
Laptop,10,7,8,1,52,48.8,0,0,0,MEDIUM
Workstation,6,9,4,2,85,38.6,1,1,0,HIGH
Laptop,5,4,9,0,38,14.8,1,1,1,LOW
Server,3,7,2,2,51,44.9,0,1,1,MEDIUM
Workstation,7,4,2,1,1,43.3,1,2,1,MEDIUM
Laptop,8,3,4,1,96,9.1,0,0,5,MEDIUM
Laptop,3,6,5,0,104,31.3,0,0,2,LOW
Desktop,2,2,2,1,80,46.1,1,1,0,LOW
Desktop,13,5,5,1,63,36.3,0,0,2,MEDIUM
Laptop,2,6,3,2,108,0.0,1,1,0,LOW
Desktop,3,1,4,0,103,23.9,0,1,0,LOW
Workstation,4,8,3,0,56,22.4,1,1,0,LOW
Desktop,4,2,5,3,74,50.3,0,0,2,HIGH
Laptop,4,3,4,1,113,95.2,1,0,2,HIGH
Laptop,2,3,4,0,24,40.9,2,1,4,MEDIUM
Laptop,2,6,5,1,94,11.6,2,0,1,MEDIUM
Laptop,5,6,4,1,43,34.5,1,0,1,LOW
Laptop,3,7,1,1,11,38.2,1,1,2,LOW
Server,7,10,5,0,50,54.6,0,0,0,LOW
Laptop,4,8,4,0,62,65.3,0,0,4,MEDIUM
Workstation,3,6,3,1,89,68.6,0,0,1,MEDIUM
Laptop,1,5,2,1,18,49.8,0,0,0,LOW
Laptop,5,3,3,0,66,38.0,1,0,1,LOW
Server,6,5,1,1,80,70.6,3,0,2,HIGH
Workstation,7,6,5,2,77,30.4,0,0,0,MEDIUM
Laptop,5,12,5,1,100,39.2,0,0,0,MEDIUM
Laptop,7,4,2,2,91,32.6,1,0,1,MEDIUM
Laptop,1,11,4,0,56,0.0,0,0,2,LOW
Desktop,3,2,1,1,33,66.0,0,0,1,LOW
Desktop,3,1,2,1,106,52.9,1,0,1,MEDIUM
Laptop,8,3,3,0,106,0.0,0,0,1,LOW
Laptop,4,5,6,1,15,60.0,0,0,1,LOW
Desktop,8,8,10,1,54,31.3,0,0,1,MEDIUM
Workstation,5,4,3,2,90,59.7,1,0,0,HIGH
Server,5,9,2,0,79,39.7,0,1,0,LOW
Desktop,6,7,8,0,105,8.1,0,1,0,LOW
Laptop,9,2,5,2,26,38.6,0,0,0,LOW
Laptop,7,7,4,2,113,18.2,0,0,1,MEDIUM
Laptop,2,3,3,0,28,11.1,2,0,0,LOW
Server,4,5,3,2,11,57.1,2,1,3,HIGH
Workstation,5,2,4,1,88,46.6,0,1,0,MEDIUM
Workstation,3,4,3,2,112,70.9,1,1,1,HIGH
Workstation,4,7,4,2,42,29.3,0,0,0,LOW
Workstation,6,8,6,2,19,16.8,0,1,0,LOW
Workstation,4,9,3,0,105,52.1,0,1,0,MEDIUM
Laptop,4,6,3,0,11,19.7,0,1,0,LOW
Laptop,7,6,3,2,80,31.2,0,0,0,LOW
Laptop,4,3,2,1,15,49.6,1,2,0,LOW
Desktop,4,8,9,0,80,35.2,0,0,1,MEDIUM
Laptop,2,5,4,0,13,27.2,0,1,1,LOW
Workstation,4,5,8,0,46,7.1,1,2,2,MEDIUM
Desktop,8,3,5,1,56,58.6,1,0,0,MEDIUM
Desktop,10,4,4,0,109,29.9,0,0,0,LOW
Laptop,5,6,6,2,86,51.6,0,0,0,MEDIUM
Laptop,4,8,2,0,114,48.7,0,3,0,MEDIUM
Laptop,4,8,4,2,65,62.0,0,1,2,HIGH
Workstation,3,3,2,0,31,32.8,0,1,2,LOW
Desktop,7,9,2,2,51,30.4,0,1,1,MEDIUM
Server,5,4,5,0,62,13.6,0,1,2,LOW
Laptop,5,5,6,2,68,26.1,2,0,1,HIGH
